variant,code,name,market,entry_date,exit_date,entry,exit,ret,days,reason,atr_pct,r_multiple,bench,excess,sample
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-07-04,2024-07-26,640.6818157087054,622.4547499491672,-0.03144948196223718,15,ll,0.02083926207471323,-0.6825933149705506,-0.0717914459736203,0.040341964011383125,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-01,2024-08-05,659.8202340999119,570.5075754359149,-0.13835907819776416,2,ll,0.019889506662570493,-3.4027761596644477,-0.19547428558413105,0.057115207386366884,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-28,2024-09-25,679.8699278240991,687.1607707234172,0.0077238790847128395,18,ll,0.03384718878013581,0.1584160970409212,-0.010926467526099826,0.018650346610812666,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-02-14,2025-04-08,751.8669676961778,726.3318509615385,-0.036962280339143394,35,ll,0.020251576068072895,-0.8385095615517486,-0.1634224682779959,0.1264601879388525,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-04-21,2025-09-05,789.696721138714,1000.5977839612696,0.26406589653613344,94,ll,0.026287429861116478,5.0797262788167945,0.23865250875271848,0.025413387783414954,IS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-11-14,2025-12-08,1022.3499635612708,1012.8924926984708,-0.012250717660179374,15,ll,0.018038846846942083,-0.256411003948057,-0.013647850405099082,0.001397132744919708,OOS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-01-08,2026-01-22,1059.9392305195277,998.3376451769035,-0.06111803504284885,9,ll,0.021892224330234886,-1.327367063441408,0.03323410964461915,-0.094352144687468,OOS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-04-09,2026-05-07,875.1343830082575,831.1331999217365,-0.053279344453668664,16,ll,0.01832402585102461,-1.3719513621745205,0.11588706895810152,-0.1691664134117702,OOS
D1_hh20_ll10,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-06-30,2026-09-18,856.0,1051.0,0.2248037383177569,56,open,0.018075475314735776,6.301459141493315,-0.06404608094676534,0.28884981926452225,OOS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-01-30,2024-03-08,626.1001343853706,652.5293367209111,0.03921242079988618,26,ll,0.02161153479341057,0.9766178386543135,0.10164615304713909,-0.062433732247252904,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-03-28,2024-04-22,722.7036581851324,687.1608438592208,-0.05218034373199032,17,ll,0.025283733953326455,-0.9725688425368022,-0.08154804782516656,0.02936770409317624,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-01,2024-08-05,659.8202340999119,570.5075754359149,-0.13835907819776416,2,ll,0.019889506662570493,-3.4027761596644477,-0.19547428558413105,0.057115207386366884,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-28,2024-09-25,679.8699278240991,687.1607707234172,0.0077238790847128395,18,ll,0.03384718878013581,0.1584160970409212,-0.010926467526099826,0.018650346610812666,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-02-18,2025-04-08,749.9755074745055,726.3318509615385,-0.034525904882661496,33,ll,0.023581336652021924,-0.6684503373976122,-0.1572888281205128,0.12276292323785132,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-04-21,2025-09-05,789.696721138714,1000.5977839612696,0.26406589653613344,94,ll,0.026287429861116478,5.0797262788167945,0.23865250875271848,0.025413387783414954,IS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-01-08,2026-01-22,1059.9392305195277,998.3376451769035,-0.06111803504284885,9,ll,0.021892224330234886,-1.327367063441408,0.03323410964461915,-0.094352144687468,OOS
D2_hh20_ll10_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-07-08,2026-09-18,869.0,1051.0,0.20643613348676648,50,open,0.017375286299869935,6.026839784744559,-0.047438556804703214,0.2538746902914697,OOS
D3_hh55_ll20_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-01-30,2024-04-22,626.1001343853706,687.1608438592208,0.09452546936248829,56,ll,0.02161153479341057,2.2563290921897896,0.03918367515109411,0.05534179421139418,IS
D3_hh55_ll20_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-28,2024-10-22,679.8699278240991,673.4904765952302,-0.012383340794740124,36,ll,0.03384718878013581,-0.13861329600653596,0.0032213185073446393,-0.015604659302084763,IS
D3_hh55_ll20_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-02-18,2025-04-08,749.9755074745055,726.3318509615385,-0.034525904882661496,33,ll,0.023581336652021924,-0.6684503373976122,-0.1572888281205128,0.12276292323785132,IS
D3_hh55_ll20_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-04-21,2025-10-03,789.696721138714,983.5743824458214,0.2425090113930609,112,ll,0.026287429861116478,4.669703593887851,0.31785572568606835,-0.07534671429300743,IS
D3_hh55_ll20_sma20>55,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-07-08,2026-09-18,869.0,1051.0,0.20643613348676648,50,open,0.017375286299869935,6.026839784744559,-0.047438556804703214,0.2538746902914697,OOS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-01-30,2024-03-08,626.1001343853706,652.5293367209111,0.03921242079988618,26,ll,0.02161153479341057,0.9766178386543135,0.10164615304713909,-0.062433732247252904,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-03-28,2024-04-22,722.7036581851324,687.1608438592208,-0.05218034373199032,17,ll,0.025283733953326455,-0.9725688425368022,-0.08154804782516656,0.02936770409317624,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-01,2024-08-05,659.8202340999119,570.5075754359149,-0.13835907819776416,2,ll,0.019889506662570493,-3.4027761596644477,-0.19547428558413105,0.057115207386366884,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2024-08-28,2024-09-25,679.8699278240991,687.1607707234172,0.0077238790847128395,18,ll,0.03384718878013581,0.1584160970409212,-0.010926467526099826,0.018650346610812666,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-02-18,2025-04-08,749.9755074745055,726.3318509615385,-0.034525904882661496,33,ll,0.023581336652021924,-0.6684503373976122,-0.1572888281205128,0.12276292323785132,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2025-04-21,2025-09-05,789.696721138714,1000.5977839612696,0.26406589653613344,94,ll,0.026287429861116478,5.0797262788167945,0.23865250875271848,0.025413387783414954,IS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-01-08,2026-01-22,1059.9392305195277,998.3376451769035,-0.06111803504284885,9,ll,0.021892224330234886,-1.327367063441408,0.03323410964461915,-0.094352144687468,OOS
D4_hh20_ll10_sma_prime,2124,ジェイエイシーリクルートメント,プライム（内国株式）,2026-07-08,2026-09-18,869.0,1051.0,0.20643613348676648,50,open,0.017375286299869935,6.026839784744559,-0.047438556804703214,0.2538746902914697,OOS
D1_hh20_ll10,4761,さくらケーシーエス,スタンダード（内国株式）,2024-04-17,2024-05-17,2721.73290050202,2071.9201717245533,-0.24174963213973344,19,ll,0.08728329326652146,-1.3676708520306753,0.008218607527729516,-0.24996823966746295,IS
D2_hh20_ll10_sma20>55,4761,さくらケーシーエス,スタンダード（内国株式）,2024-04-17,2024-05-17,2721.73290050202,2071.9201717245533,-0.24174963213973344,19,ll,0.08728329326652146,-1.3676708520306753,0.008218607527729516,-0.24996823966746295,IS
D3_hh55_ll20_sma20>55,4761,さくらケーシーエス,スタンダード（内国株式）,2024-04-17,2024-05-20,2721.73290050202,1998.0569205940544,-0.26888794946575567,20,ll,0.08728329326652146,-1.5231319735717406,0.015556584689419228,-0.2844445341551749,IS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2024-03-21,2024-04-17,990.8449793762584,948.0782814497725,-0.04616184551230984,19,ll,0.015583840555589286,-1.3848269737599908,-0.0510404238993325,0.0048785783870226584,IS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2025-04-15,2025-08-20,1072.5356028748902,1204.7142251337548,0.1202393795642448,86,ll,0.03211824339664706,1.9185261479323323,0.26208278559969767,-0.14184340603545287,IS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2025-10-23,2025-12-08,1284.3951614713344,1234.8832391756716,-0.041548823431368676,30,ll,0.01784837953392493,-1.0798970113252535,0.025840792458468487,-0.06738961588983716,OOS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2026-01-08,2026-01-29,1294.103276517259,1266.9202981728492,-0.02400526197380914,14,ll,0.013053267797188916,-0.8045978332848082,0.027204911764288076,-0.05121017373809722,OOS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2026-02-06,2026-02-19,1320.3154145748895,1279.5410504495874,-0.03388229045514135,8,ll,0.013088236639716032,-1.179772772499756,0.06781720638801847,-0.10169949684315982,OOS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2026-06-30,2026-08-04,1193.0,1217.0,0.017117351215423352,24,ll,0.015213746856663872,0.6611570247933884,-0.07932529292330404,0.09644264413872738,OOS
D1_hh20_ll10,3284,フージャースホールディングス,プライム（内国株式）,2026-08-14,2026-09-04,1275.0,1301.0,0.017392156862745204,15,ll,0.014862745098039216,0.6860158311345647,-0.04812941041916852,0.06552156728191372,OOS
D2_hh20_ll10_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2025-04-15,2025-08-20,1072.5356028748902,1204.7142251337548,0.1202393795642448,86,ll,0.03211824339664706,1.9185261479323323,0.26208278559969767,-0.14184340603545287,IS
D2_hh20_ll10_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2025-12-01,2025-12-08,1295.0741789804865,1234.8832391756716,-0.04947682795451813,5,ll,0.013005999853502308,-1.7867456742282932,0.0065274771451631075,-0.05600430509968124,OOS
D2_hh20_ll10_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2026-02-06,2026-02-19,1320.3154145748895,1279.5410504495874,-0.03388229045514135,8,ll,0.013088236639716032,-1.179772772499756,0.06781720638801847,-0.10169949684315982,OOS
D2_hh20_ll10_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2026-07-29,2026-08-04,1258.0,1217.0,-0.03559141494435614,4,ll,0.013751987281399047,-1.1849710982658959,0.025536941715282202,-0.06112835665963834,OOS
D2_hh20_ll10_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2026-08-14,2026-09-04,1275.0,1301.0,0.017392156862745204,15,ll,0.014862745098039216,0.6860158311345647,-0.04812941041916852,0.06552156728191372,OOS
D3_hh55_ll20_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2025-04-15,2025-08-20,1072.5356028748902,1204.7142251337548,0.1202393795642448,86,ll,0.03211824339664706,1.9185261479323323,0.26208278559969767,-0.14184340603545287,IS
D3_hh55_ll20_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2025-12-01,2025-12-12,1295.0741789804865,1230.0291798107255,-0.05322492164963555,9,ll,0.013005999853502308,-1.9308366221498448,0.01159393613727655,-0.0648188577869121,OOS
D3_hh55_ll20_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2026-02-06,2026-03-05,1320.3154145748895,1265.9495500433693,-0.04417642188478477,17,ll,0.013088236639716032,-1.5730316855608963,0.027128813250784756,-0.07130523513556952,OOS
D3_hh55_ll20_sma20>55,3284,フージャースホールディングス,プライム（内国株式）,2026-07-30,2026-09-18,1269.0,1308.0,0.027732860520094497,35,open,0.013947990543735224,1.1016949152542372,0.058351184095430275,-0.03061832357533578,OOS
